English	Korean	Product	Chapter	Sequence
If you have just installed the plug-in, this toolbar should appear automatically, floating in plain sight.	if 방금 설치된 플러그인, 이 도구막대가 나타날 자동으로, 부동 일반.	physx	using1	68921
It appears as shown at right.	이 모양으로 표시됩니다.	physx	using1	68922
If the toolbar isn’t visible (if, for example, you have closed it), you can get it to show up again as with any other toolbar in Max: simply right-click in an unused toolbar area, and choose “PhysX Toolbar” from the right-click menu.	도구 모음이 보이지 (예를 들어, 닫힌) 수 있습니다 표시하기 위해 다시 다른 도구막대 Max: 단순히 사용하지 않는 도구막대 영역 및 "MassFX 도구 모음" 마우스 오른쪽 버튼 클릭 메뉴에서 사용할 수 있습니다.	physx	using1	68923
Ah, there it is!	aH, 이는!	physx	using1	68924
{563}The first button in the PhysX Toolbar opens the PhysX Tools panel, shown at right.	{563} 첫 번째 버튼을 PhysX 도구막대가 열립니다 PhysX 도구 패널에 표시됩니다.	physx	using1	68926
There are two tabs at the top of the panel, the {564}Global{565} and the {566}Modifier{567} tab.	두 가지 탭 패널 위쪽의, {564} ###전역 {565} 및 {566} ###수정자 {567} 탭을 클릭합니다.	physx	using1	68927
The {568}Global{569} tab (as seen at right) lets you control aspects common to the entire project.	이 {568} ###전역 {569} 탭 (오른쪽) 를 사용하여 전체 프로젝트에 공통적으로 적용되는 측면을 제어할 수 있습니다.	physx	using1	68928
The “Scene Settings” rollout allows you to specify values that affect the scene.	장면 설정 롤아웃에서 값을 지정할 수 있는 장면에 영향을 주지 않습니다.	physx	using1	68929
The “Advanced Settings” rollout allows you to control advanced controls that affect the scene.	고급 설정 롤아웃 조정할 수 있습니다. 고급 컨트롤을 장면에 영향을 주지 않습니다.	physx	using1	68930
The “Simulation” rollout provides authoring defaults for the simulation.	" 시뮬레이션” 롤아웃은 제작 기본값.
The {570}Display{571} tab lets you control the display properties common to the entire project.	이 {570} 화면표시 {571} 탭을 제어할 수 있는 전체 프로젝트에 공통되는 디스플레이 속성을 선택합니다.
The “Rigid Bodies” rollout provides display options for all rigid bodies in the scene.	“강체  롤아웃에서 모든 강체에 대한 디스플레이 옵션을 제공하며 입니다."	physx	using1	68931
The “APEX Clothing” rollout provides diplay options for all apex clothing in the scene.	“APEX 의상 " 롤아웃은 화면표시 옵션 모든 APEX 의상 입니다.	physx	using1	68932
For more information, see the {572}reference section{573}.	자세한 내용은 {572} 참조 단면 {573}.	physx	using1	68933
{574}The next two buttons are the rigid body and constraints flyouts.	{574} 다음 두 개의 버튼은 강체 및 제약 조건 플라이아웃입니다.	physx	using1	68935
As with Max flyouts, clicking on the button will perform the action indicated by the icon, while clicking and holding on the flyout will display a list of related actions.	As 최대 플라이아웃 버튼을 클릭하여 작업을 수행할 나타내는 아이콘, 플라이아웃을 클릭한 채 누르고 있으면 이 리스트를 표시하고 관련 동작.	physx	using1	68936
For more information, see {575}, or the reference sections for the {576} and the {577}.	자세한 내용은 {575} 또는 참조 단면 {576} 및 {577}.	physx	using1	68937
{578}The third flyout button contains actions for working with ragdolls.	{578} 세 번째 플라이아웃 버튼이 포함된 동작 작업 ragdolls.	physx	using1	68939
As above, clicking the button will perform the action shown, while clicking and holding on the button will let you choose an alternative action.	위 버튼을 클릭하면 이 작업을 수행할 을 클릭한 채 누르고 있으면 버튼을 선택할 수 있는 대체 동작.	physx	using1	68940
For more information, see {579}Creating Ragdolls{580}, or the reference section for the {581}.	자세한 내용은 {579} 작성 ragdolls {580} 또는 의 참조 섹션을 {581}.	physx	using1	68941
{582}This button on the toolbar opens and closes the Physical Material Editor.	{582} 이 도구 모음의 버튼을 열고 닫습니다 물리적 재질 편집기에 있습니다.	physx	using1	68943
Like Max’s (graphical) Material Editor, the Physical Material Editor lets you create presets for the physical properties of rigid bodies or clothing, and re-use them throughout your project.	LIKE Max의 (그래픽) 재질 편집기, 물리적 재질 편집기를 사용하면 작성 사전 설정에 대한 물리적 특성을 강체 또는 의복 및 다시 사용할 전체 프로젝트에 있습니다.	physx	using1	68944
For more information, see the reference section for the {583}&nbsp;(where you can reference a physical material preset), or the reference section for the {584}&nbsp;itself.	자세한 내용은 의 참조 섹션을 {583} &nbsp; (참조할 수 있는 물리적 재질 사전 설정) 또는 의 참조 섹션을 {584} &nbsp; 자체입니다.	physx	using1	68945
{585}Last on the toolbar are three buttons for controlling the simulation:	{585} 도구 모음의 나머지 세 개의 버튼이 시뮬레이션:	physx	using1	68947
The {586}&nbsp;{587}Reset Simulation{588} button rewinds the Max Time Slider to the first frame and moves any dynamic rigid bodies back to their initial transform.	이 {586} &nbsp; {587} 시뮬레이션 다시 설정 버튼 {588} 처음으로 Max 시간 슬라이더를 첫 번째 프레임으로 이동하는 모든 역학 강체를 초기 변환.	physx	using1	68948
Where Max’s own “Play Animation” button advances the Time Slider and shows you animations (only), the PhysX {589}&nbsp;{590}Start Simulation{591} button updates the positions of (dynamic) rigid body and clothing objects in the scene, along with advancing the Max Time Slider and visualizing Max animations.	여기서 Max 자체의 "애니메이션 재생" 버튼을 클릭하여 시간 슬라이더 및 보여줍니다. 애니메이션 (), PhysX {589} &nbsp; {590} 시뮬레이션 시작 {591} 버튼 위치를 (동적) 강체 및 의상 오브젝트가 장면에서 함께 진행하고 Max 시간 슬라이더 및 시각화 Max 애니메이션.	physx	using1	68949
If you wish to run the simulation only (without advancing the Max Time Slider, and thus not updating the position of any kinematic rigid bodies), a second ‘play’ button named {592}&nbsp;{593}Start Simulation without Animation{594} is available as part of the flyout.	원하는 경우 시뮬레이션을 실행하려면 (진행하고 Max 시간 슬라이더 및 업데이트하지 위치 모든 운동학 강체가), 두 번째 ‘’ 재생 버튼 명명된 {592} &nbsp; {593} 애니메이션 없이 시뮬레이션 시작 {594} 가 일부로 제공됨 플라이아웃	physx	using1	68950
The {595}&nbsp;{596}Step Simulation{597} button runs the simulation for a single frame (with Max animation) and then stops it.	이 {595} &nbsp; {596} 시뮬레이션 단계 {597} 버튼 시뮬레이션을 한 프레임씩 실행합니다 (최대 애니메이션) 다음 중지합니다.	physx	using1	68951
Finally, there is the PhysX menu in the menu bar of Max itself.	마지막으로, PhysX 메뉴를 메뉴 막대에 Max.	physx	using1	68953
While much of this menu exists to provide you with an alternative to the toolbar, there are some actions (such as {598}creating clothing{599} or {600}exporting the scene{601}) that must be made through the menu itself.	동안 이 메뉴 존재합니다 제공하기 위해 대체 도구막대, 몇 가지 작업 (예: {598} 작성 의상 {599} 또는 {600} 장면을 내보내기 {601} ) 하는 통해 메뉴.	physx	using1	68954
For more information, see the reference section for the {602}.	자세한 내용은 의 참조 섹션을 {602}.	physx	using1	68955
The following pages are part of {603}Rigid Bodies & Constraints{604}:	다음 페이지 일부가 {603} 강체 및 제약 조건 {604}:	physx	using1	68957
{605} Rigid Body Overview{606}	{605} 강체 개요 {606}	physx	using1	68958
Introduction to the concepts needed for authoring rigid bodies.	소개 필요한 개념을 제작 강체입니다.	physx	using1	68959
{607} Working with Rigid Bodies{608}	{607} 강체 작업 {608}	physx	using1	68960
The workflow for creating and editing rigid bodies.	워크플로우 작성 및 편집을 위한 강체입니다.	physx	using1	68961
{609} Constraining Physics Objects{610}	{609} 피지크 오브젝트 제한 {610}	physx	using1	68962
Understanding, creating, and editing PhysX constraints.	이해 작성, 편집 및 PhysX 제약 조건이 있습니다.	physx	using1	68963
Rigid Body Overview	강체 개요	physx	using1	68964
What is a "Rigid Body"?	어떤 "고정 몸체"?	physx	using1	68965
Composing the Physical Representation	물리적 표시 구성	physx	using1	68966
Rigid Body Types: Dynamic, Kinematic, and Static	강체 유형: 역학, 운동학 및 정적	physx	using1	68967
Physical Meshes versus Graphical Meshes	물리적 메시와 그래픽 메시 비교	physx	using1	68968
What is a	무엇입니까	physx	using1	68969
A "rigid body" is an object in the physical simulation whose shape and size cannot change.	강체 가 있는 오브젝트의 물리적 시뮬레이션에서 모양과 크기를 변경할 수 없습니다.	physx	using1	68970
If you make a rod in your scene into a rigid body, it may bounce and slide around, but it can never be bent or snapped (no matter how much force is applied).	로드 만드는 경우 장면에서 강체 경우 바운스 및 슬라이딩할 수 있지만 전혀 절곡부 또는 스냅됨 (아무리 힘을 가해도).	physx	using1	68971
Multiple rigid bodies may be joined together in a scene by constraints.	여러 강체를 결합할 수 있습니다 (장면의 제약 조건이 있습니다.	physx	using1	68972
For example, imagine that you have added a door to your scene and made it a rigid body.	예를 들어, 사용자가 장면에 문을 추가하고 이를 강체로 설정한.	physx	using1	68973
While it may may start out precariously balanced upright in the door frame, any bump into the door is going to have it fall flat on the floor.	이 있을 수도 있습니다. 시작 아웃 precariously 균형 상향식 문 프레임, 인해 문이 이동하여 해당 바닥에.	physx	using1	68974
You need to add a hinge constraint to hold the door on the door frame.	추가 힌지 제약 조건을 ###유지 문 문 프레임.	physx	using1	68975
{611}teapot graphical mesh and simplified physical mesh	{611} 찻주전자 그래픽 메시 및 단순화된 물리적 메시	physx	using1	68977
Manage Your Data	데이터를 관리할	physx	using1	68978
Data Management Overview	데이터 관리 개요	physx	using1	68979
data management:overview;overview:data management	데이터 관리:개요; 개요: 데이터 관리	galileo	manage	69153
Using &ProdName;, a city modeler can manage the data in a city model project.	&ProdName; 을(를) 사용하여 도시 모델러 관리할 수 있는 데이터 도시 모형 프로젝트.	galileo	manage	69154
Management functions include the following abilities:	관리 기능에는 다음과 같은 기능이 있습니다.	galileo	manage	69155
review referenced data sources and attribute mappings	검토 참조된 데이터 소스 및 속성 매핑	galileo	manage	69156
remove city objects that have been previously imported	제거 도시 객체는 이전에 가져온	galileo	manage	69157
update data mappings	업데이트 데이터 매핑	galileo	manage	69158
reimport relevant source data	가져올 관련 소스 데이터	galileo	manage	69159
Manage Data Sources and Attribute Mappings	데이터 소스를 관리할 및 속성 매핑	galileo	manage	69160
manage:data sources;manage:attribute mapping;data sources:management of;attribute mapping:management of	관리: 데이터 소스; 관리: 속성 매핑; 데이터 소스: 관리; 속성 매핑: 관리	galileo	manage	69161
You can manage all data sources and attribute mapping entries used during import operations.	관리할 수 모든 데이터 소스 및 속성 매핑 항목이 사용된 가져오는 동안 작업.	galileo	manage	69162
When model objects are imported, their data source location, connection information, and relevant attribute mappings remain intact.	모형 오브젝트를 가져온 경우 해당 데이터 원본 위치, 연결 정보 및 관련 속성 매핑을 그대로 유지됩니다.	galileo	manage	69163
All settings are maintained between the source data and the city model object classes.	모든 설정은 유지됩니다 소스 데이터 및 도시 모형 객체 클래스.	galileo	manage	69164
Data source locations, connection information, and attribute mappings are reviewed by ...	데이터 원본 위치, 연결 정보 및 속성 매핑을 검토됩니다 기준...	galileo	manage	69165
To review data sources	검토 데이터 소스	galileo	manage	69166
Click Start menu {83} Programs {84} Autodesk {85} &ProdNameLong; {86} &ProdNameLong;.	시작 메뉴 {83} 프로그램 {84} Autodesk {85} &ProdNameLong; {86} &ProdNameLong; 을(를) 참고하십시오.	galileo	manage	69167
Open an existing city model.	기존 도시 모형.	galileo	manage	69168
Click Import menu {87} Terrain.	가져오기를 클릭하여 메뉴 {87} 지형.	galileo	manage	69169
The Import Geospatial Data dialog box is displayed.	지형 공간 데이터 가져오기 대화상자가 표시됩니다.	galileo	manage	69170
Click the Add Files button and select a terrain model you want added to the project.	Add Files 버튼을 선택하고 지형 모델 원하는 프로젝트에 추가됩니다.	galileo	manage	69171
Navigate to the folder containing source data and select a terrain model.	포함하는 폴더로 이동하여 소스 데이터 및 지형 모델.	galileo	manage	69172
Click Open.	열기를 클릭합니다.	galileo	manage	69173
The selected terrain model is added to the import list.	선택한 지형 모형에 추가되고 가져오기 리스트.	galileo	manage	69174
The terrain model has a coordinate system of CA-I assigned.	지형 모형에 좌표계를 CA-I 지정됩니다.	galileo	manage	69175
Click Insert.	삽입을 클릭합니다.	galileo	manage	69176
{88}Result:{89}	{88} 결과: {89}	galileo	manage	69177
The terrain model is imported into the city model project and the coordinate system is automatically set to that of the terrain model.	지형 모델을 가져오면 도시 모형 프로젝트 및 좌표계가 자동으로 설정할 수 있는 지형 모델.	galileo	manage	69178
To review attribute mappings	검토 속성 매핑	galileo	manage	69179
Click Start menu {90} Programs {91} Autodesk {92} &ProdNameLong; {93} &ProdNameLong;.	시작 메뉴 {90} 프로그램 {91} Autodesk {92} &ProdNameLong; {93} &ProdNameLong; 을(를) 참고하십시오.	galileo	manage	69180
Click Import menu {94} Terrain.	가져오기를 클릭하여 메뉴 {94} 지형.	galileo	manage	69182
{95}Result:{96}	{95} 결과: {96}	galileo	manage	69190
To manage data sources	데이터 소스를 관리할	galileo	manage	69192
Click Start menu {97} Programs {98} Autodesk {99} &ProdNameLong; {100} &ProdNameLong;.	시작 메뉴 {97} 프로그램 {98} Autodesk {99} &ProdNameLong; {100} &ProdNameLong; 을(를) 참고하십시오.	galileo	manage	69193
Click Import menu {101} Terrain.	가져오기를 클릭하여 메뉴 {101} 지형.	galileo	manage	69195
{102}Result:{103}	{102} 결과: {103}	galileo	manage	69203
To manage attribute mappings	관리 속성 매핑	galileo	manage	69205
Click Start menu {104} Programs {105} Autodesk {106} &ProdNameLong; {107} &ProdNameLong;.	시작 메뉴 {104} 프로그램 {105} Autodesk {106} &ProdNameLong; {107} &ProdNameLong; 을(를) 참고하십시오.	galileo	manage	69206
Click Import menu {108} Terrain.	가져오기를 클릭하여 메뉴 {108} 지형.	galileo	manage	69208
{109}Result:{110}	{109} 결과: {110}	galileo	manage	69216
Edit Attribute Mappings	속성 매핑 편집	galileo	manage	69218
edit:attribute mapping;attribute mapping:editing of	편집: 속성 매핑; 매핑: 속성 편집	galileo	manage	69219
To visualize elements in the city model project correctly, source data attributes require mapping to corresponding attributes of city model objects.	시각화할 수 있는 요소 도시 모형 프로젝트 올바르게, 소스 데이터 속성 필수 매핑 해당 속성을 도시 모형 객체가 포함되어 있습니다.	galileo	manage	69220
After model objects are imported, you may find it necessary to edit attribute mappings.	이후 모형 객체는 가져온 경우 필요한 속성 편집 매핑.	galileo	manage	69221
For example, the height attribute of an apartment building may need to change for greater visual accuracy.	예를 들어, 높이 속성 아파트 건물 변경해야 할 보다 시각적인 정확도	galileo	manage	69222
After editing any attribute mappings, it is necessary to import the source data again to update the visualization.	편집하고 나면 모든 속성 매핑을 경우, 가져오기 원본 데이터 다시 업데이트를 위해 시각화.	galileo	manage	69223
Because this operation changes the city model, you are prompted to confirm the action.	이 작업을 수행하면 도시 모형 확인하는 메시지가 표시됩니다.	galileo	manage	69224
Attribute mapping does not support undo/redo.	속성 매핑 지원하지 않는 실행 취소/다시 실행.	galileo	manage	69225
To edit attribute mappings	편집할 속성 매핑	galileo	manage	69226
Click Start menu {111} Programs {112} Autodesk {113} &ProdNameLong; {114} &ProdNameLong;.	시작 메뉴 {111} 프로그램 {112} Autodesk {113} &ProdNameLong; {114} &ProdNameLong; 을(를) 참고하십시오.	galileo	manage	69227
Click Import menu {115} Terrain.	가져오기를 클릭하여 메뉴 {115} 지형.	galileo	manage	69229
{116}Result:{117}	{116} 결과: {117}	galileo	manage	69237
To render updated source data	렌더링 업데이트된 소스 데이터	galileo	manage	69239
Click Start menu {118} Programs {119} Autodesk {120} &ProdNameLong; {121} &ProdNameLong;.	시작 메뉴 {118} 프로그램 {119} Autodesk {120} &ProdNameLong; {121} &ProdNameLong; 을(를) 참고하십시오.	galileo	manage	69240
Click Import menu {122} Terrain.	가져오기를 클릭하여 메뉴 {122} 지형.	galileo	manage	69242
{123}Result:{124}	{123} 결과: {124}	galileo	manage	69250
Remove City Objects from Source Data	제거 시 객체를 소스 데이터	galileo	manage	69252
remove:city objects;city objects:removal of;data sources:remove city objects;city objects:removal from source data	제거: City 객체; City 객체: 제거; 데이터 소스: 제거 시 객체; City 객체 제거: 데이터 소스	galileo	manage	69253
Model objects retain a constant connection with their source data.	모델 객체 유지 상수 연결 해당 소스 데이터가 있습니다.	galileo	manage	69254
It is not uncommon for data sources to be associated with several model objects of a certain type.	많습니다 데이터 소스 연관된 모형 여러 오브젝트 중 특정 유형입니다.	galileo	manage	69255
For example, source data for street objects for a specific part of the city may be stored in a SHP file.	예를 들어, 소스 데이터의 도로 객체 특정 부품 구/군/시 저장될 수 있지만 SHP 파일에 있습니다.	galileo	manage	69256
When you import the SHP file content, the streets are visualized in the viewport.	가져올 때 SHP 파일 내용을 거리에 시각화 뷰포트에 나타납니다.	galileo	manage	69257
If you remove a street, this operation removes {125}all{126} of the street objects associated with the SHP file; not the individual street object.	제거하는 경우 도로, 이 작업을 제거합니다 {125} 모든 {126} 거리의 연관된 객체의 SHP 파일; 아닌 개별 도로 객체.	galileo	manage	69258
Model objects that are imported from other data sources remain in the city model.	모형 에서 가져온 오브젝트에 다른 데이터 소스의 남아 도시 모형.	galileo	manage	69259
Removing city model objects from the data source is not supported by undo/redo.	제거 시 모형 객체 데이터 소스 지원하지 않습니다. 실행 취소/다시 실행.	galileo	manage	69261
To remove city objects imported from a data source	제거할 수 있는 도시 가져온 객체 데이터 소스	galileo	manage	69262
Click Start menu {127} Programs {128} Autodesk {129} &ProdNameLong; {130} &ProdNameLong;.	시작 메뉴 {127} 프로그램 {128} Autodesk {129} &ProdNameLong; {130} &ProdNameLong; 을(를) 참고하십시오.	galileo	manage	69263
Click Import menu {131} Terrain.	가져오기를 클릭하여 메뉴 {131} 지형.	galileo	manage	69265
{132}Result:{133}	{132} 결과: {133}	galileo	manage	69273
Filter the list of data sources below	필터 리스트 데이터 소스 아래	galileo	manage	69275
Show:	표시:	galileo	manage	69276
Add file data source	파일 추가 데이터 소스	galileo	sw1	69658
Add File	파일 추가	galileo	sw1	69659
Add database data source	추가 데이터베이스 데이터 소스	galileo	sw1	69660
Connect Database	데이터베이스 연결	galileo	sw1	69661
Configure	구성	galileo	sw1	69662
Select Features	피쳐 선택	galileo	sw1	69663
Delete Features	피쳐 삭제	galileo	sw1	69664
Expand All	모두 확장	galileo	sw1	69665
Collapse All	모두 축소	galileo	sw1	69666
Hide Details	상세 정보 숨기기	galileo	sw1	69667
Data Source Details	데이터 소스 정보	galileo	sw1	69668
Source type:	소스 유형:	galileo	sw1	69669
Connection string:	연결 문자열:	galileo	sw1	69670
Coordinate system:	좌표계:	galileo	sw1	69671
