English	Japanese	Product	Chapter	Sequence
A polyline is a sequence of segments created as a single object.	ポリラインとは、1 つのオブジェクトとして作成された一連のセグメントです。	acad	tut2a	58646
Polylines can contain both straight and curved segments.	ポリラインは、直線セグメントと曲線セグメントの両方を含めることができます。	acad	tut2a	58647
In this lesson, you learn how to draw a polyline with straight segments.	このレッスンでは、直線セグメントでポリラインを作図する方法を学習します。	acad	tut2a	58648
1 Click Open.	1 は [開く] をクリックします。	acad	tut2a	58649
2 In the Upload files dialog box, select bolt_add_polyline.dwg.	[アップロードするファイルを選択] ダイアログボックスで [bolt_add_polyline.dwg で 2] を選択します。	acad	tut2a	58650
3 In this lesson, you will finish the side view drawing of a bolt by adding polylines.	このレッスンでは 3 は、ポリラインを追加することによって、ボルトの側面図を完成させます。	acad	tut2a	58651
4 Click Draw ➤ Polyline.	ポリライン] ➤ [4 を描画] をクリックします。	acad	tut2a	58652
5 Drag the cursor down to the bolt drawing and go to the location indicated in the following figure:	5 ボルト図面にカーソルをドラッグし、次の図に示す位置に移動します。	acad	tut2a	58653
6 Click on that location.	その場所に 6] をクリックします。	acad	tut2a	58654
This is the first point of the polyline.	これは、ポリラインの始点です。	acad	tut2a	58655
7 Drag the cursor to the location indicated by the colored square in the following figure:	7 次の図の色の付いた正方形で示されている場所にカーソルをドラッグします。	acad	tut2a	58656
8 Click near the center of the colored square.	色の付いた正方形の中心付近の 8] をクリックします。	acad	tut2a	58657
You have drawn the first line in the polyline.	ポリラインの最初の線分の作図は完了です。	acad	tut2a	58658
9 Drag the cursor to the location indicated by the colored square in the following figure:	9 は次の図の色の付いた正方形で示されている場所にカーソルをドラッグします。	acad	tut2a	58659
10 Click near the center of the colored square.	色の付いた正方形の中心付近に 10 をクリックします。	acad	tut2a	58660
You have drawn the second line in the polyline.	ポリラインの 2 番目の線分の作図は完了です。	acad	tut2a	58661
11 Drag the cursor to the location indicated by the colored square in the following figure:	11 の場合、次の図の色の付いた正方形で示されている場所にカーソルをドラッグします。	acad	tut2a	58662
12 Click near the center of the colored square.	色の付いた正方形の中心付近に 12] をクリックします。	acad	tut2a	58663
You have drawn the third line in the polyline.	これで、ポリラインの 3 番目の線分の作図は完了です。	acad	tut2a	58664
13 Press the Enter key to end the polyline.	ポリラインの終点と 13、Enter キーを押します。	acad	tut2a	58665
14 Click Home ➤ Save, and save the drawing as Drawing1.dwg.	14 [ホーム] ➤ [保存、Drawing1.dwg として図面を保存します。	acad	tut2a	58666
To draw a circle	円を描画するには	acad	tut2a	58667
In this lesson, you learn how to draw a circle by specifying the center point and radius.	このレッスンでは、中心点と半径を指定して円を作図する方法を学習します。	acad	tut2a	58668
1 With Drawing1.dwg open, click Draw ➤ Circle.	Drawing1.dwg を開き、[表示] ➤ [円] を 1 に設定します。	acad	tut2a	58669
2 Drag the crosshairs cursor down to the drawing area.	2 つの図面領域でクロスヘアカーソルをドラッグします。	acad	tut2a	58670
3 Click the left mouse button to specify the center of the circle.	円の中心を指定するには、マウスの左ボタン 3 をクリックします。	acad	tut2a	58671
4 The dynamic input prompt asks you to “Specify distance.”	4 つのダイナミック入力プロンプトの距離を指定するには、メッセージが表示されます。	acad	tut2a	58672
Enter 0.25 from the keyboard and press the Enter key to create a circle with a radius of 0.25.	0.25 の半径の円を作成するには、[Enter] キーをキーボードから入力 0.25 です。	acad	tut2a	58673
5 Click Home ➤ Save, and save the drawing as Drawing1.dwg.	5 をクリックしてホームビュー] ➤ [保存、Drawing1.dwg として図面を保存します。	acad	tut2a	58674
You will use this file in Lesson 3.	このファイルは、レッスン 3 で使用されます。	acad	tut2a	58675
Using PhysX in 3ds Max	3ds Max で PhysX を使用する	physx	using1	58857
The following pages are part of {557}Using PhysX in 3ds Max{558}:	次のページ {558} 3ds Max {557} PhysX のパーツがあります。	physx	using1	58858
An introduction the ways you interact with the plug-in in 3ds Max.	概要には、3ds Max では、プラグインの操作方法があります。	physx	using1	58859
{559} Rigid Bodies & Constraints{560}	{559} リジッドボディとコンストレイント {560}	physx	using1	58860
Working with blocks, balls, and more complex non-deforming objects hooked together.	ブロック、ボールを使用すると、組み立てて複雑な non-deforming オブジェクト。	physx	using1	58861
The convenience commands and helper available for working with boned characters.	便利なコマンドとヘルパーボーン文字を使用することができます。	physx	using1	58862
Realistic cloth constrained and colliding with characters.	現実感のある布地コンストレイン、および文字と衝突します。	physx	using1	58863
Tools for seeing more about the simulation than just its effects.	は、エフェクトのシミュレーションについての詳細を確認するためのツールをクリックします。	physx	using1	58864
{561} Baking PhysX Simulation Results{562}	ベイク処理 PhysX シミュレーション結果 {562}{561}	physx	using1	58865
Moving your PhysX and APEX simulations into keyframes that 3ds Max understands.	Max されたキーフレームには、PhysX および頂点をシミュレートします。	physx	using1	58866
The Plug-in Interface	プラグインは、インタフェース	physx	using1	58867
The PhysX Toolbar	PhysX ツールバー	physx	using1	58868
The PhysX Menu	PhysX メニュー	physx	using1	58869
Simulation Controls	シミュレーションをコントロール	physx	using1	58870
Physical Material Editor	物理的マテリアルエディタ	physx	using1	58871
Ragdolls	ラグドール	physx	using1	58872
Rigid Bodies & Constraints	リジッドボディコンストレイント (& C)	physx	using1	58873
The PhysX Tools panel	PhysX ツール] パネル	physx	using1	58874
Basics	Maya の基本	physx	using1	58876
Introduction	はじめに	physx	using1	58877
Overview	概要	physx	using1	58878
The most obvious way to interact with the PhysX plug-in via the PhysX Toolbar.	PhysX ツールバーで [PhysX プラグインとやりとりするための最も直接的な方法です。	physx	using1	58879
If you have just installed the plug-in, this toolbar should appear automatically, floating in plain sight.	このプラグインをインストールした場合、このツールバーの表示を自由に自動的に表示されます。	physx	using1	58880
It appears as shown at right.	右の図に示すように表示されます。	physx	using1	58881
If the toolbar isn’t visible (if, for example, you have closed it), you can get it to show up again as with any other toolbar in Max: simply right-click in an unused toolbar area, and choose “PhysX Toolbar” from the right-click menu.	[ツールバーが表示されていな (たとえば、、閉じた) するには、[繰り返してその他のツールバーの最大を右クリックで使用されていないツールバーを選択して、[PhysX] ツールバーからは、右クリックメニューがあります。	physx	using1	58882
Ah, there it is!	ah はあります。	physx	using1	58883
{563}The first button in the PhysX Toolbar opens the PhysX Tools panel, shown at right.	{563} PhysX ツールバーの最初のボタンの右に表示されている PhysX ツールパネルを開きます。	physx	using1	58885
There are two tabs at the top of the panel, the {564}Global{565} and the {566}Modifier{567} tab.	パネル、{564} グローバル {565} と {566} モディファイヤ {567} ] タブの上部にある 2 つのタブがあります。	physx	using1	58886
The {568}Global{569} tab (as seen at right) lets you control aspects common to the entire project.	[{568} グローバル {569} ] タブの右側に示されている部分はプロジェクト全体に共通のコントロールすることができます。	physx	using1	58887
The “Scene Settings” rollout allows you to specify values that affect the scene.	[シーン設定] ロールアウトには、シーンに影響する値を指定することができます。	physx	using1	58888
The “Advanced Settings” rollout allows you to control advanced controls that affect the scene.	設定] ロールアウトには、シーンに影響を与える高度なコントロールを制御できるように拡張します。	physx	using1	58889
The “Simulation” rollout provides authoring defaults for the simulation.	[シミュレーション] ロールアウトには、シミュレーションのオーサリングの既定値が表示されます。	physx	using1	58890
The {570}Display{571} tab lets you control the display properties common to the entire project.	[{570} 表示 {571} ] タブでは、表示プロパティは、プロジェクト全体に共通のコントロールすることができます。	physx	using1	58891
The “Rigid Bodies” rollout provides display options for all rigid bodies in the scene.	ロールアウトのリジッドボディを、シーン内のすべてのリジッドボディの表示オプションがあります。	physx	using1	58892
The “APEX Clothing” rollout provides diplay options for all apex clothing in the scene.	「 APEX Clothing] ロールアウトには、シーン内のすべての頂点の衣服の表示オプションがあります。	physx	using1	58893
For more information, see the {572}reference section{573}.	詳細については、{572} リファレンスセクション {573} 」 を参照してください。	physx	using1	58894
{574}The next two buttons are the rigid body and constraints flyouts.	次の 2 つのボタンは、リジッドボディとコンストレイントフライアウトで {574} します。	physx	using1	58896
As with Max flyouts, clicking on the button will perform the action indicated by the icon, while clicking and holding on the flyout will display a list of related actions.	[フライアウトを使用して、このボタンをクリックすると、フライアウトをクリックしたまま関連アクションのリストが表示され、アイコンで示されているアクションを実行します。	physx	using1	58897
For more information, see {575}, or the reference sections for the {576} and the {577}.	詳細については、{575}、{576} と {577} の参照セクションを参照してください。	physx	using1	58898
{578}The third flyout button contains actions for working with ragdolls.	ラグドールの操作には、3 番目のフライアウトボタンが含まれているアクション {578} します。	physx	using1	58900
As above, clicking the button will perform the action shown, while clicking and holding on the button will let you choose an alternative action.	このボタンをクリックすると、上記とは、ボタンをクリックしたまま、別のアクションを選択すると、次の操作を実行します。	physx	using1	58901
For more information, see {579}Creating Ragdolls{580}, or the reference section for the {581}.	詳細については、ラグドール {580}、{581} の参照を作成する {579} 」 を参照してください。	physx	using1	58902
{582}This button on the toolbar opens and closes the Physical Material Editor.	{582} ツールバーには、このボタンが表示され、[マテリアルエディタ] を閉じます。	physx	using1	58904
Like Max’s (graphical) Material Editor, the Physical Material Editor lets you create presets for the physical properties of rigid bodies or clothing, and re-use them throughout your project.	MAX のグラフィカルな) マテリアルエディタのように、[マテリアルエディタ] では、リジッドボディや衣服の物理的なプロパティのプリセットを作成し、プロジェクト全体で再利用することができます。	physx	using1	58905
For more information, see the reference section for the {583}&nbsp;(where you can reference a physical material preset), or the reference section for the {584}&nbsp;itself.	詳細については、{583} &nbsp; のリファレンスセクションでは、物理的マテリアルプリセットを参照できるよう、{584} &nbsp; 自体の参照セクションを参照してください。	physx	using1	58906
{585}Last on the toolbar are three buttons for controlling the simulation:	ツールバーの {585} 最後のシミュレーションを制御するための 3 つのボタンがあります。	physx	using1	58908
The {586}&nbsp;{587}Reset Simulation{588} button rewinds the Max Time Slider to the first frame and moves any dynamic rigid bodies back to their initial transform.	[{586} &nbsp; {587} シミュレーション {588} ボタンは、最初のフレームに、タイムスライダを巻き戻し、ダイナミックリジッドボディの最初の変換に戻してリセットします。	physx	using1	58909
Where Max’s own “Play Animation” button advances the Time Slider and shows you animations (only), the PhysX {589}&nbsp;{590}Start Simulation{591} button updates the positions of (dynamic) rigid body and clothing objects in the scene, along with advancing the Max Time Slider and visualizing Max animations.	ここで最大の 「 アニメーションを再生] ボタンが [タイムスライダが表示され、アニメーションは、PhysX {589} &nbsp; {590} シミュレーション開始 {591} ボタンが更新され、位置のダイナミックリジッドボディとクロスオブジェクトでシーンに沿って進む最大タイムスライダが表示する最大アニメーション。	physx	using1	58910
If you wish to run the simulation only (without advancing the Max Time Slider, and thus not updating the position of any kinematic rigid bodies), a second ‘play’ button named {592}&nbsp;{593}Start Simulation without Animation{594} is available as part of the flyout.	場合によって、実行したシミュレーションのみに進む最大タイムスライダ、更新の位置のキネマティクスリジッドボディ)、2 番目の [再生] ボタンという {592} &nbsp; {593} シミュレーションを開始せずにアニメーション {594} で使用できるパーツのフライアウトです。	physx	using1	58911
The {595}&nbsp;{596}Step Simulation{597} button runs the simulation for a single frame (with Max animation) and then stops it.	ボタン {597}[{595} &nbsp; {596} ステップシミュレーションの単一フレームのアニメーションでシミュレーションを実行して終了します。	physx	using1	58912
Finally, there is the PhysX menu in the menu bar of Max itself.	最後に、[Max のメニューバーで [PhysX] メニューが表示されます。	physx	using1	58914
While much of this menu exists to provide you with an alternative to the toolbar, there are some actions (such as {598}creating clothing{599} or {600}exporting the scene{601}) that must be made through the menu itself.	このメニューのツールバーの代わりに示すことが存在する場合は、メニューを使用する必要がある操作 (シーン {601} エクスポート {598} 衣服 {599} 作成または {600} など) があります。	physx	using1	58915
For more information, see the reference section for the {602}.	詳細については、{602} の参照セクションを参照してください。	physx	using1	58916
The following pages are part of {603}Rigid Bodies & Constraints{604}:	次のページ {604}{603} リジッドボディとコンストレイントがあります。	physx	using1	58918
{605} Rigid Body Overview{606}	{605} リジッドボディ {606} の概要	physx	using1	58919
Introduction to the concepts needed for authoring rigid bodies.	リジッドボディのオーサリングに必要な概念を紹介します。	physx	using1	58920
{607} Working with Rigid Bodies{608}	リジッドボディの作業 {607}{608}	physx	using1	58921
The workflow for creating and editing rigid bodies.	リジッドボディを作成および編集するためのワークフローを選択します。	physx	using1	58922
{609} Constraining Physics Objects{610}	{609} 物理オブジェクトの制限 {610}	physx	using1	58923
Understanding, creating, and editing PhysX constraints.	とは、作成、および PhysX コンストレインを編集します。	physx	using1	58924
Rigid Body Overview	リジッドボディの概要	physx	using1	58925
What is a "Rigid Body"?	」 リジッドボディ 」 がありますか?	physx	using1	58926
Composing the Physical Representation	物理的表現を構成する	physx	using1	58927
Rigid Body Types: Dynamic, Kinematic, and Static	リジットボディタイプ: ダイナミック、キネマティクス、およびスタティック	physx	using1	58928
Physical Meshes versus Graphical Meshes	物理的メッシュとグラフィカルメッシュ	physx	using1	58929
What is a	は、	physx	using1	58930
A "rigid body" is an object in the physical simulation whose shape and size cannot change.	「 リジッドボディのシェイプやサイズを変更できない物理的シミュレーション内のオブジェクトです。	physx	using1	58931
If you make a rod in your scene into a rigid body, it may bounce and slide around, but it can never be bent or snapped (no matter how much force is applied).	リジッドボディには、シーン内のロッドを行うと、バウンドになりますが、これは曲げまたは (フォースが適用されているかは関係ありません)、スナップすることができます。	physx	using1	58932
Multiple rigid bodies may be joined together in a scene by constraints.	複数のリジッドボディをコンストレイントによってシーンに結合できます。	physx	using1	58933
For example, imagine that you have added a door to your scene and made it a rigid body.	たとえば、シーンにドアを追加し、これをリジッドボディにしたいとします。	physx	using1	58934
While it may may start out precariously balanced upright in the door frame, any bump into the door is going to have it fall flat on the floor.	この precariously 平衡のドアのフレームから開始されることがありませんが、ドアにバンプが床の上に平らに減衰になります。	physx	using1	58935
You need to add a hinge constraint to hold the door on the door frame.	ドアフレームのドアを押したままにするには、ヒンジコンストレイントを追加する必要があります。	physx	using1	58936
{611}teapot graphical mesh and simplified physical mesh	{611} ティーポットのグラフィカルメッシュと単純化された物理的メッシュ	physx	using1	58938
Manage Your Data	データ管理	galileo	manage	59180
Data Management Overview	データ管理の概要	galileo	manage	59181
data management:overview;overview:data management	データ管理<so > がいよう; 概要: データ管理	galileo	manage	59182
Using &ProdName;, a city modeler can manage the data in a city model project.	&ProdName; を使用して、都市モデラ都市モデルプロジェクトのデータを管理することができます。	galileo	manage	59183
Management functions include the following abilities:	管理機能は、機能を次に示します。	galileo	manage	59184
review referenced data sources and attribute mappings	データソースとアトリビュートのマッピングを参照を確認	galileo	manage	59185
remove city objects that have been previously imported	これまでに読み込んだ区画オブジェクトを削除	galileo	manage	59186
update data mappings	更新データマッピング	galileo	manage	59187
reimport relevant source data	再読み込みで、関連するソースデータ	galileo	manage	59188
Manage Data Sources and Attribute Mappings	[データソースとアトリビュートのマッピング	galileo	manage	59189
manage:data sources;manage:attribute mapping;data sources:management of;attribute mapping:management of	管理<so > データソース; 管理: 属性マッピング; データソース、属性マッピングの管理: 管理	galileo	manage	59190
You can manage all data sources and attribute mapping entries used during import operations.	すべてのデータソースやインポート処理中に使用される属性マッピングエントリを管理することができます。	galileo	manage	59191
When model objects are imported, their data source location, connection information, and relevant attribute mappings remain intact.	オブジェクトを読み込むと、データソースの場所、接続情報、および関連する属性マッピングはそのまま残ります。	galileo	manage	59192
All settings are maintained between the source data and the city model object classes.	すべての設定は、ソースデータと、都市のモデルオブジェクトクラスとの間で維持されます。	galileo	manage	59193
Data source locations, connection information, and attribute mappings are reviewed by ...	データソースの接続情報は、属性マッピングを見直して示します。	galileo	manage	59194
To review data sources	[データソースにするには	galileo	manage	59195
Click Start menu {83} Programs {84} Autodesk {85} &ProdNameLong; {86} &ProdNameLong;.	&ProdNameLong; Autodesk {84}{85}{86} &ProdNameLong; プログラム {83}[スタート] メニューをクリックします。	galileo	manage	59196
Open an existing city model.	は、都市の既存のモデルを開きます。	galileo	manage	59197
Click Import menu {87} Terrain.	地表 {87}[読み込み] をクリックします。	galileo	manage	59198
The Import Geospatial Data dialog box is displayed.	[空間データ] ダイアログボックスが表示されます。	galileo	manage	59199
Click the Add Files button and select a terrain model you want added to the project.	[ファイルを追加] ボタンをクリックし、プロジェクトに追加されるかを選択し、地形モデルを選択します。	galileo	manage	59200
Navigate to the folder containing source data and select a terrain model.	フォルダのソースデータを含む、地形モデルを選択します。	galileo	manage	59201
Click Open.	[開く] をクリックします。	galileo	manage	59202
The selected terrain model is added to the import list.	選択した地形モデルが読み込みリストに追加されます。	galileo	manage	59203
The terrain model has a coordinate system of CA-I assigned.	地形モデルを CA-I に座標系が割り当てられています。	galileo	manage	59204
Click Insert.	[挿入] をクリックします。	galileo	manage	59205
{88}Result:{89}	{88}{89} 結果:	galileo	manage	59206
The terrain model is imported into the city model project and the coordinate system is automatically set to that of the terrain model.	この地形モデルは、都市のモデルをプロジェクトに読み込むと、座標系が自動的に地形モデルに設定されています。	galileo	manage	59207
To review attribute mappings	アトリビュートのマッピングをレビューするには	galileo	manage	59208
Click Start menu {90} Programs {91} Autodesk {92} &ProdNameLong; {93} &ProdNameLong;.	&ProdNameLong; {93} &ProdNameLong; プログラム {90}{91}{92} Autodesk [スタート] メニューをクリックします。	galileo	manage	59209
Click Import menu {94} Terrain.	地表 {94}[読み込み] をクリックします。	galileo	manage	59211
{95}Result:{96}	{95}{96} 結果:	galileo	manage	59219
To manage data sources	[データソースにするには	galileo	manage	59221
Click Start menu {97} Programs {98} Autodesk {99} &ProdNameLong; {100} &ProdNameLong;.	&ProdNameLong; Autodesk {98}{99}{100} &ProdNameLong; プログラム {97}[スタート] メニューをクリックします。	galileo	manage	59222
Click Import menu {101} Terrain.	地表 {101}[読み込み] をクリックします。	galileo	manage	59224
{102}Result:{103}	{102}{103} 結果:	galileo	manage	59232
To manage attribute mappings	[アトリビュートをマッピングする	galileo	manage	59234
Click Start menu {104} Programs {105} Autodesk {106} &ProdNameLong; {107} &ProdNameLong;.	&ProdNameLong; Autodesk {105}{106}{107} &ProdNameLong; プログラム {104}[スタート] メニューをクリックします。	galileo	manage	59235
Click Import menu {108} Terrain.	地表 {108}[読み込み] をクリックします。	galileo	manage	59237
{109}Result:{110}	結果: {109}{110}	galileo	manage	59245
Edit Attribute Mappings	編集属性マッピング	galileo	manage	59247
edit:attribute mapping;attribute mapping:editing of	編集<so > ヘンシュウ: アトリビュートマップ、属性マッピングの編集	galileo	manage	59248
To visualize elements in the city model project correctly, source data attributes require mapping to corresponding attributes of city model objects.	都市モデルプロジェクトを正しく内の要素を表示するには、ソースデータのアトリビュートのモデルオブジェクトの対応するアトリビュートにマッピングする必要があります。	galileo	manage	59249
After model objects are imported, you may find it necessary to edit attribute mappings.	オブジェクトモデルをインポートした後に、属性マッピングを編集する必要があります。	galileo	manage	59250
For example, the height attribute of an apartment building may need to change for greater visual accuracy.	たとえば、アパートの高さアトリビュートが表示精度を変更する必要があります。	galileo	manage	59251
After editing any attribute mappings, it is necessary to import the source data again to update the visualization.	アトリビュートのマッピングを編集した後、表示を更新するには、ソースデータを再度読み込む必要があります。	galileo	manage	59252
Because this operation changes the city model, you are prompted to confirm the action.	この操作は、都市のモデルが変更されるので、アクションを確認するプロンプトが表示されます。	galileo	manage	59253
Attribute mapping does not support undo/redo.	属性マッピング元に戻す / やり直しをサポートしていません。	galileo	manage	59254
To edit attribute mappings	編集するアトリビュートをマッピングする	galileo	manage	59255
Click Start menu {111} Programs {112} Autodesk {113} &ProdNameLong; {114} &ProdNameLong;.	&ProdNameLong; {114} &ProdNameLong; プログラム {111}{112}{113} Autodesk [スタート] メニューをクリックします。	galileo	manage	59256
Click Import menu {115} Terrain.	地表 {115}[読み込み] をクリックします。	galileo	manage	59258
{116}Result:{117}	{116}{117} 結果:	galileo	manage	59266
To render updated source data	更新されたレンダーソースデータ	galileo	manage	59268
Click Start menu {118} Programs {119} Autodesk {120} &ProdNameLong; {121} &ProdNameLong;.	&ProdNameLong; Autodesk {119}{120}{121} &ProdNameLong; プログラム {118}[スタート] メニューをクリックします。	galileo	manage	59269
Click Import menu {122} Terrain.	地表 {122}[読み込み] をクリックします。	galileo	manage	59271
{123}Result:{124}	{123}{124} 結果:	galileo	manage	59279
Remove City Objects from Source Data	ソースデータから区画オブジェクトを削除	galileo	manage	59281
remove:city objects;city objects:removal of;data sources:remove city objects;city objects:removal from source data	削除<so > サクジョ: 都市オブジェクト; City オブジェクト: 都市オブジェクト; City オブジェクト: ソースデータの削除を削除します。 データソースを削除します。	galileo	manage	59282
Model objects retain a constant connection with their source data.	モデルのオブジェクトには、ソースデータに対して一定の接続は維持されます。	galileo	manage	59283
It is not uncommon for data sources to be associated with several model objects of a certain type.	特定のタイプの複数のオブジェクトに関連付けるデータソースのことは珍しくありません。	galileo	manage	59284
For example, source data for street objects for a specific part of the city may be stored in a SHP file.	たとえば、都市の特定のパーツの境界オブジェクトのソースデータを SHP ファイルに格納されます。	galileo	manage	59285
When you import the SHP file content, the streets are visualized in the viewport.	[SHP ファイルのコンテンツをインポートすると、道路は、ビューポートに表示されます。	galileo	manage	59286
If you remove a street, this operation removes {125}all{126} of the street objects associated with the SHP file; not the individual street object.	道路を削除する場合は、この操作を削除し、SHP ファイルに関連付けられている道路の全オブジェクト {126}。 個々 の道路オブジェクト {125} します。	galileo	manage	59287
Model objects that are imported from other data sources remain in the city model.	その他のデータソースから読み込まれたモデルオブジェクトに都市のモデルに残ります。	galileo	manage	59288
Removing city model objects from the data source is not supported by undo/redo.	データソースからのモデルオブジェクトを元に戻す / やり直しによってサポートされていません。	galileo	manage	59290
To remove city objects imported from a data source	データソースからインポートされた都市のオブジェクトを削除するには	galileo	manage	59291
Click Start menu {127} Programs {128} Autodesk {129} &ProdNameLong; {130} &ProdNameLong;.	&ProdNameLong; Autodesk {128}{129}{130} &ProdNameLong; プログラム {127}[スタート] メニューをクリックします。	galileo	manage	59292
Click Import menu {131} Terrain.	地表 {131}[読み込み] をクリックします。	galileo	manage	59294
{132}Result:{133}	{132}{133} 結果:	galileo	manage	59302
Filter the list of data sources below	データソースのリストをフィルタ	galileo	sw1	59787
Show:	表示:	galileo	sw1	59788
Add file data source	[データソース	galileo	sw1	59789
Add File	ファイルを追加	galileo	sw1	59790
Add database data source	[データベースのデータソース	galileo	sw1	59791
Connect Database	データベース接続	galileo	sw1	59792
Configure	環境設定	galileo	sw1	59793
Select Features	フィーチャを選択	galileo	sw1	59794
Delete Features	フィーチャを削除する	galileo	sw1	59795
Expand All	すべてを展開	galileo	sw1	59796
Collapse All	すべてを集約	galileo	sw1	59797
Hide Details	詳細を非表示	galileo	sw1	59798
Data Source Details	データソースの詳細について	galileo	sw1	59799
Source type:	ソースタイプ:	galileo	sw1	59800
Connection string:	接続文字列:	galileo	sw1	59801
Coordinate system:	座標系:	galileo	sw1	59802
Date loaded:	ロードされた日付です。	galileo	sw1	59803
File Data Source Reconnection	データソースの再接続	galileo	sw1	59804
Select	選択	galileo	sw1	59805
Rename	名前変更	galileo	sw1	59806
Refresh...	再表示...	galileo	sw1	59807
Remove Data	データを除去	galileo	sw1	59808
Removal cannot be undone.	削除を元に戻すことはできません。	galileo	sw1	59809
Continue and remove the data?	続けて、データを削除しますか?	galileo	sw1	59810
Remove All Features	すべてのフィーチャを削除	galileo	sw1	59811
Continue and remove all features of this data source?	続けて、このデータソースのすべてのフィーチャを削除しますか?	galileo	sw1	59813
Name	名前	galileo	sw1	59814
Multiple Values	複数の値	galileo	sw1	59815
Source	ソース	galileo	sw1	59816
Type	タイプ	galileo	sw1	59817
Invert Orientation	反転方向	galileo	sw1	59818
Invert Up Axis	[Up 軸]	galileo	sw1	59819
Flip Y and Z	[Y 軸反転]、[Z]	galileo	sw1	59820
Texture Blend Mode	テクスチャブレンドモード	galileo	sw1	59821
Original	オリジナル	galileo	sw1	59822
Modulate	調整	galileo	sw1	59823
Decal	デカール	galileo	sw1	59824
Lifespan	ライフスパン （ Lifespan ）	galileo	sw1	59825
Common	一般	galileo	sw1	59826
Style	スタイル	galileo	sw1	59827
Elevation	高さ	galileo	sw1	59828
Edit	編集	galileo	sw1	59829
Revert	元に戻す	galileo	sw1	59830
Script	スクリプト	galileo	sw1	59831
Source Filter	ソースフィルタ	galileo	sw1	59832
Draping Options	ドレープするオプション	galileo	sw1	59833
